date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:08	172523/172523	---M--	200	added ('OK')	image/jpeg	etag:%222a1eb-68a9bb89-2b1a074559166032;;;%22	https://anotapedidosonline.com/images/r2.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r2.jpg	(from https://anotapedidosonline.com/)
00:56:09	160639/160639	---M--	200	added ('OK')	image/jpeg	etag:%222737f-68a9bb89-c5efebedbc08264d;;;%22	https://anotapedidosonline.com/images/r3.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r3.jpg	(from https://anotapedidosonline.com/)
00:56:09	68574/68574	---M--	200	added ('OK')	image/jpeg	etag:%2210bde-68a9bb89-948cce28b52a0491;;;%22	https://anotapedidosonline.com/images/r4.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r4.jpg	(from https://anotapedidosonline.com/)
00:56:11	159957/159957	---M--	200	added ('OK')	image/jpeg	etag:%22270d5-68a9bb89-de769490d6f2cb63;;;%22	https://anotapedidosonline.com/images/r5.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r5.jpg	(from https://anotapedidosonline.com/)
00:56:12	169545/169545	---M--	200	added ('OK')	image/jpeg	etag:%2229649-68a9bb89-e3f76736a05fd6a4;;;%22	https://anotapedidosonline.com/images/r6.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r6.jpg	(from https://anotapedidosonline.com/)
00:56:12	52283/52283	---M--	200	added ('OK')	image/jpeg	etag:%22cc3b-68a9bb89-f48047852ca30c1a;;;%22	https://anotapedidosonline.com/images/r7.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r7.jpg	(from https://anotapedidosonline.com/)
00:56:14	170690/170690	---M--	200	added ('OK')	image/jpeg	etag:%2229ac2-68a9bb89-529f9a3aa21c5e27;;;%22	https://anotapedidosonline.com/images/r8.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r8.jpg	(from https://anotapedidosonline.com/)
00:56:15	292340/292340	---M--	200	added ('OK')	image/jpeg	etag:%22475f4-68a9bb89-a5d2f8cbafa8bb8b;;;%22	https://anotapedidosonline.com/images/r9.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r9.jpg	(from https://anotapedidosonline.com/)
00:56:15	63334/63334	---M--	200	added ('OK')	image/jpeg	etag:%22f766-68a9bb89-ad6898e2ae96b827;;;%22	https://anotapedidosonline.com/images/r10.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r10.jpg	(from https://anotapedidosonline.com/)
00:56:16	122666/122666	---M--	200	added ('OK')	image/jpeg	etag:%221df2a-68a9bb89-1e5b1600064d2c28;;;%22	https://anotapedidosonline.com/images/r11.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r11.jpg	(from https://anotapedidosonline.com/)
00:56:18	168055/168055	---M--	200	added ('OK')	image/jpeg	etag:%2229077-68a9bb89-64876c6819212f86;;;%22	https://anotapedidosonline.com/images/r12.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/images/r12.jpg	(from https://anotapedidosonline.com/)
00:56:19	87533/87533	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22155ed-68a9bb89-eea83083e74dcbc0;br%22	https://anotapedidosonline.com/js/jquery.min.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/js/jquery.min.js	(from https://anotapedidosonline.com/)
00:56:20	43923/43923	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22ab93-68a9bb89-6c0cd06dad6fa3e2;br%22	https://anotapedidosonline.com/js/delivry.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/js/delivry.js	(from https://anotapedidosonline.com/)
00:56:22	40818/40818	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%229f72-68a9bb89-94b7d82a6c7a2ebc;br%22	https://anotapedidosonline.com/js/sweetalert.min.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/js/sweetalert.min.js	(from https://anotapedidosonline.com/)
00:56:22	1464945/1464945	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22165a71-68a9bb89-5dbfdbff345c7635;br%22	https://anotapedidosonline.com/js/all.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/js/all.js	(from https://anotapedidosonline.com/)
00:56:23	34653/34653	---MCZ	200	added ('OK')	text/css	etag:W/%22875d-68a9bb8a-e8afb1d646346faa;br%22	https://anotapedidosonline.com/produtos/maniacombo.html/css/delivry.css	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/css/delivry.css	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:24	4511/4511	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Apr%202025%2007:30:36%20GMT	https://anotapedidosonline.com/produtos/maniacombo.html/link.href,%20window.location.origin	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/link.href,%20window.location.origin	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:24	51376/51376	---M--	200	added ('OK')	image/jpeg	etag:%22c8b0-68a9bb8a-92e35943f3f3c450;;;%22	https://anotapedidosonline.com/produtos/maniacombo.html/images/logo.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/images/logo.jpg	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:27	93432/93432	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2216cf8-68a9bb8b-2ddb8cbb327b4f39;br%22	https://anotapedidosonline.com/produtos/maniacombo.html/js/jquery.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/js/jquery.js	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:28	46834/46834	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b6f2-68a9bb8b-5a4b249add34ece4;br%22	https://anotapedidosonline.com/produtos/maniacombo.html/js/deliveryProduto.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/js/deliveryProduto.js	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:29	433230/433230	---M--	200	added ('OK')	image/webp	etag:%2269c4e-68a9bb8a-a370e2ca9a8649f;;;%22	https://anotapedidosonline.com/produtos/maniacombo.html/images/casal0.webp	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/images/casal0.webp	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:29	4730/4730	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22127a-68a9bb8b-9dc327d6c45b999c;br%22	https://anotapedidosonline.com/produtos/maniacombo.html/js/jquery-mask.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/js/jquery-mask.js	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:31	40826/40826	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%229f7a-68a9bb8b-5d16053cba117571;br%22	https://anotapedidosonline.com/produtos/maniacombo.html/js/sweetalert.min.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/js/sweetalert.min.js	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:31	1108/1108	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22454-68a9bb8b-90f81a28b3c13bc1;br%22	https://anotapedidosonline.com/produtos/maniacombo.html/js/9f8a7b1c.js	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/maniacombo.html/js/9f8a7b1c.js	(from https://anotapedidosonline.com/produtos/maniacombo.html/index.html)
00:56:32	51376/51376	---M--	200	added ('OK')	image/jpeg	etag:%22c8b0-68a9bb8a-c131d1640f34f39c;;;%22	https://anotapedidosonline.com/produtos/familiamania.html/images/logo.jpg	/Users/victorduarte/Desktop/site-copiado/anotapedidosonline.com/produtos/familiamania.html/images/logo.jpg	(from https://anotapedidosonline.com/produtos/familiamania.html/index.html)
